Cohort,Block,Position,Pop,Rep,Germ date,Notes
1,1,I_19,CAIN4,15,2020-10-04,
1,1,I_20,STDR2,12,2020-10-10,
1,1,J_01,STBR3,6,,
1,1,J_02,STBR3,10,2020-09-26,
1,1,J_03,STDI,13,2020-09-20,
1,1,J_04,STDR2,5,2020-11-05,
1,1,J_05,CAAN1,6,,
1,1,J_06,CAAN2,2,,
1,1,J_07,STGL1,14,,
1,1,J_08,CAAM-GB,2,,seed spill! Probably more than 1 seed
1,1,J_09,CAAN2,3,,
1,1,J_10,blank,1,,
1,1,J_11,STPO1,1,2020-09-21,
1,1,J_12,STBR3,4,,
1,1,J_13,CAAN2,11,,
1,1,J_14,CAIN4,12,2020-09-22,
1,1,J_15,STDR2,8,2020-11-29,
1,1,J_16,STTO-BH,5,2020-09-21,
1,1,J_17,CAAN2,5,,
1,1,J_18,STDI,5,2020-09-20,
1,1,J_19,STIN,5,,
1,1,J_20,CAAM-GB,10,,
1,2,A_01,STIN,7,2020-09-22,
1,2,A_02,STGL1,10,2020-09-27,
1,2,A_03,STPO1,12,2020-09-21,
1,2,A_04,CAIN4,9,2020-09-30,
1,2,A_05,STIN,2,2020-09-21,
1,2,A_06,CAAN1,8,,
1,2,A_07,STTO-BH,2,2020-09-20,
1,2,A_08,STIN,16,,
1,2,A_09,CAIN4,8,2020-09-21,
1,2,A_10,STDR2,1,2020-10-21,
1,2,A_11,STGL1,2,,
1,2,A_12,blank,1,,
1,2,A_13,STIN,12,2020-09-22,
1,2,A_14,CAAN2,10,,
1,2,A_15,STDI,13,,
1,2,A_16,STPO1,15,2020-09-22,
1,2,A_17,CAIN4,10,,
1,2,A_18,STDR2,12,,
1,2,A_19,STDR2,16,2020-10-14,
1,2,A_20,CAAN1,4,,
1,2,B_01,CAAM-GB,11,,
1,2,B_02,CAAN1,1,2020-09-23,
1,2,B_03,STBR3,6,2020-09-23,
1,2,B_04,CAIN4,11,,
1,2,B_05,STDR2,10,2020-09-22,3 cotyledons!
1,2,B_06,CAIN3,5,2020-09-24,
1,2,B_07,CAAM-GB,15,,
1,2,B_08,CAAN2,7,,
1,2,B_09,STDI,10,,
1,2,B_10,CAAN2,1,,
1,2,B_11,STDR2,9,2020-10-25,
1,2,B_12,CAIN4,1,,
1,2,B_13,CAAM-GB,13,,
1,2,B_14,STTO-BH,9,2020-09-20,
1,2,B_15,STDI,14,,
1,2,B_16,CAAN1,3,2020-09-21,
1,2,B_17,STPO1,14,2020-09-21,
1,2,B_18,STBR3,5,,
1,2,B_19,STDR2,6,,
1,2,B_20,CACO1,1,,
1,2,C_01,STPO1,10,2020-10-07,
1,2,C_02,STDI,3,2020-09-21,
1,2,C_03,STBR3,15,2020-09-23,
1,2,C_04,STPO1,4,2020-09-23,
1,2,C_05,STIN,11,2020-09-20,
1,2,C_06,CAAN2,6,2020-09-21,
1,2,C_07,STPO1,11,2020-09-21,
1,2,C_08,STTO-BH,12,2020-09-21,
1,2,C_09,STPO1,6,,
1,2,C_10,CAIN3,7,2020-09-22,
1,2,C_11,STPO1,5,,
1,2,C_12,STBR3,3,,
1,2,C_13,STTO-BH,14,2020-09-20,
1,2,C_14,CAAN2,3,,
1,2,C_15,STTO-BH,13,2020-09-21,
1,2,C_16,CAIN4,5,2020-09-22,
1,2,C_17,STBR3,1,,
1,2,C_18,CAIN4,2,,
1,2,C_19,CACO1,4,2020-09-22,
