"","Cohort","Block","Position","Pop","Rep","germdate","Notes","plantdate","germjul","plantjul","days2germ","plantSep","germSep","days2germ2","planted","germinated","mean.Temp","mean.Min.Temp","mean.Max.Temp","Topt"
"36",1,1,"B_16","CAIN4",13,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,36.46572848
"37",1,1,"B_17","STDR2",2,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,26.75027797
"38",1,1,"B_18","CAAN1",15,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
"39",1,1,"B_19","STBR3",2,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,36.4851957
"40",1,1,"B_20","STDI",6,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,29.11518968
"41",1,1,"C_01","CAAM-GB",13,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,12.17705163
"42",1,1,"C_02","CAAM-GB",1,2020-10-11,"",2020-09-17,285,261,24,16,40,24,1,1,19.9822371579453,14,28.9,12.17705163
"43",1,1,"C_03","STPO1",6,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.46575374
"44",1,1,"C_04","CAAM-GB",8,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,12.17705163
"45",1,1,"C_05","STDI",7,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,29.11518968
"46",1,1,"C_06","CAIN4",14,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,36.46572848
"47",1,1,"C_07","STDR2",13,2020-10-02,"",2020-09-17,276,261,15,16,31,15,1,1,21.3445040214477,14.90625,30.0625,26.75027797
"48",1,1,"C_08","STTO-BH",14,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,21.4389966
"49",1,1,"C_09","STGL1",13,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,25.95117404
"50",1,1,"C_10","STGL1",2,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,25.95117404
"51",1,1,"C_11","blank",3,NA,"iButton in this blank ",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,NA
"52",1,1,"C_12","STGL1",11,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,25.95117404
"53",1,1,"C_13","CAAM-GB",3,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,12.17705163
"54",1,1,"C_14","CAAN1",16,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
"55",1,1,"C_15","CAIN4",5,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,36.46572848
"56",1,1,"C_16","STGL1",12,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,25.95117404
"57",1,1,"C_17","blank",2,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,NA
"58",1,1,"C_18","STPO1",8,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,21.46575374
"59",1,1,"C_19","STTO-BH",1,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,21.4389966
"60",1,1,"C_20","STDR2",10,2020-10-05,"",2020-09-17,279,261,18,16,34,18,1,1,21.2347762289068,14.7631578947368,29.921052631579,26.75027797
"61",1,1,"D_01","STIN",1,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,25.92210573
"62",1,1,"D_02","CAAN1",4,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
"63",1,1,"D_03","STGL1",6,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,25.95117404
"64",1,1,"D_04","STTO-BH",12,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,21.4389966
"65",1,1,"D_05","CAIN3",10,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,30.61272267
"66",1,1,"D_06","CAAM-GB",16,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,12.17705163
"67",1,1,"D_07","STPO1",5,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.46575374
"68",1,1,"D_08","STPO1",11,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,21.46575374
"69",1,1,"D_09","STGL1",9,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,25.95117404
"70",1,1,"D_10","STDR2",3,2020-10-04,"",2020-09-17,278,261,17,16,33,17,1,1,21.2751385589865,14.8888888888889,29.8333333333333,26.75027797
"71",1,1,"D_11","CAAN1",14,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
"72",1,1,"D_12","STIN",15,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,25.92210573
"73",1,1,"D_13","CAAN1",3,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
