Species,Year,Germination.Proportion
CAAM,Year 1,0.139881
CAAM,Year 2,0.02678571
CAAN1,Year 1,0.1547619
CAAN1,Year 2,0.26488095
CAAN2,Year 1,0.1369048
CAAN2,Year 2,0.20833333
CACO,Year 1,0.3452381
CACO,Year 2,0.03571429
CAIN3,Year 1,0.4880952
CAIN3,Year 2,0.05059524
CAIN4,Year 1,0.3541667
CAIN4,Year 2,0.01190476
STBR,Year 1,0.6547619
STBR,Year 2,0.0327381
STDI,Year 1,0.4404762
STDI,Year 2,0.04761905
STDR,Year 1,0.4880952
STDR,Year 2,0.01488095
STGL,Year 1,0.4255952
STGL,Year 2,0.22619048
STIN,Year 1,0.3214286
STIN,Year 2,0.03869048
STPO,Year 1,0.7113095
STPO,Year 2,0.03869048
STTO,Year 1,0.6785714
STTO,Year 2,0.01190476
