"Date","max_dailytemp","min_dailytemp","mean_dailytemp"
2021-08-13,43,23,32.6066666666667
2021-08-14,46,20,30.2875
2021-08-15,42,18,28.1875
2021-08-16,44.5,19,29.425
2021-08-17,39,18.5,26.7916666666667
2021-08-18,34.5,17.5,25.1125
2021-08-19,38,15.5,25.2
2021-08-20,38.5,15,24.8833333333333
2021-08-21,34.5,16,24.0416666666667
2021-08-22,38.5,13.5,24.6416666666667
2021-08-23,38,13,24.0791666666667
2021-08-24,39.5,12.5,24.775
2021-08-25,40,14.5,25.7208333333333
2021-08-26,42.5,13,26.4375
2021-08-27,42.5,17.5,28.2833333333333
2021-08-28,44.5,18,29.3791666666667
2021-08-29,46,17.5,29.6833333333333
2021-08-30,43.5,16,28.2833333333333
2021-08-31,41.5,15.5,26.5625
2021-09-01,36,14,23.0583333333333
2021-09-02,37.5,12,22.5666666666667
2021-09-03,40,12,24.2708333333333
2021-09-04,42,12.5,25.7416666666667
2021-09-05,44,14.5,27.4416666666667
2021-09-06,44.5,16.5,28.7625
2021-09-07,46.5,19,30.9541666666667
2021-09-08,46.5,20.5,31.3583333333333
2021-09-09,42.5,20,29.0208333333333
2021-09-10,43,19,27.85
2021-09-11,44.5,15,27.3083333333333
2021-09-12,45.5,16,28.4333333333333
2021-09-13,45,17.5,28.8291666666667
2021-09-14,45.5,16.5,28.4041666666667
2021-09-15,47,15,25.5458333333333
2021-09-16,36.5,13,21.8
2021-09-17,35.5,11.5,20.0916666666667
2021-09-18,34.5,12.5,20.3
2021-09-19,34.5,15,21.7083333333333
2021-09-20,35.5,16,22.7875
2021-09-21,38.5,13,22.4125
2021-09-22,39.5,15,23.2833333333333
2021-09-23,35,13.5,22.4791666666667
2021-09-24,38,14,23.1708333333333
2021-09-25,38.5,13.5,21.9291666666667
2021-09-26,36,12,20.1708333333333
2021-09-27,35.5,11,20.1125
2021-09-28,31,11.5,18.7583333333333
2021-09-29,35,10.5,19.7083333333333
2021-09-30,37,9.5,20.15
2021-10-01,34,10.5,19.6625
2021-10-02,36.5,11.5,20.3708333333333
2021-10-03,33.5,12,20.5208333333333
2021-10-04,33,12,20.2125
2021-10-05,32,13,19.5833333333333
2021-10-06,28,13,17.9125
2021-10-07,27,11.5,16.4
2021-10-08,26,10.5,15.7958333333333
2021-10-09,27,8,15.625
2021-10-10,33,9,17.9291666666667
2021-10-11,22.5,11.5,15.6708333333333
2021-10-12,25,8.5,14.7833333333333
2021-10-13,30.5,7.5,15.9541666666667
2021-10-14,29.5,9.5,16.8041666666667
2021-10-15,34,7,16.7291666666667
2021-10-16,29.5,6.5,15.9958333333333
2021-10-17,24,9.5,14.825
2021-10-18,23,7,12.8125
2021-10-19,23,5,12.4333333333333
2021-10-20,19,12,14.7958333333333
2021-10-21,23.5,14,17.275
2021-10-22,25,14,17.3916666666667
2021-10-23,21,11,14.725
2021-10-24,15.5,12,13.6375
2021-10-25,24,11,15.4291666666667
2021-10-26,23.5,10,14.7541666666667
2021-10-27,25.5,12,16.8666666666667
2021-10-28,27.5,11,17.3208333333333
2021-10-29,26,11.5,16.4958333333333
2021-10-30,25.5,13,16.6458333333333
2021-10-31,24,9.5,14.6583333333333
2021-11-01,18,12.5,14.8
2021-11-02,23.5,13,16.7208333333333
2021-11-03,24.5,10,15.95
2021-11-04,26,11.5,16.7113821138211
2021-11-05,21.5,7.5,12.9625
2021-11-06,20,10.5,13.3041666666667
2021-11-07,19.5,6.5,10.664
2021-11-08,20,4.5,11.0541666666667
2021-11-09,15.5,10.5,12.6125
2021-11-10,21.5,10.5,14.5583333333333
2021-11-11,26,8.5,14.5708333333333
2021-11-12,19.5,9,13.1083333333333
2021-11-13,22,10.5,13.3125
2021-11-14,14.5,10.5,12.2333333333333
2021-11-15,15,11,12.6958333333333
2021-11-16,21,9.5,13.3083333333333
2021-11-17,21,5.5,11.2875
2021-11-18,15.5,6,10.625
2021-11-19,21,10.5,12.9333333333333
2021-11-20,22,7.5,12.3333333333333
2021-11-21,23,5,11.0333333333333
2021-11-22,23.5,2.5,10.3708333333333
2021-11-23,19,6.5,10.375
2021-11-24,21.5,6,11.55
2021-11-25,23,2.5,9.58333333333333
2021-11-26,24,5,11.2166666666667
2021-11-27,24.5,5.5,12.075
2021-11-28,24,6,12.0541666666667
2021-11-29,22.5,6,12.0875
2021-11-30,20.5,7,11.5583333333333
2021-12-01,23.5,6.5,12.1
2021-12-02,24,6,12.1083333333333
2021-12-03,23,5,10.7666666666667
2021-12-04,12.5,6.5,9.59166666666667
2021-12-05,16.5,6,9.8625
2021-12-06,10.5,6,8.51666666666667
2021-12-07,20,7.5,10.75
2021-12-08,12,7.5,10.0208333333333
2021-12-09,18.5,4.5,10.1708333333333
2021-12-10,17,2.5,7.07916666666667
2021-12-11,16,1.5,7.50416666666667
2021-12-12,10.5,6.5,8.45
2021-12-13,11.5,7,9.21666666666667
2021-12-14,17.5,3,7.7875
2021-12-15,12,2.5,7.02083333333333
2021-12-16,12.5,5,7.71666666666667
2021-12-17,17,1.5,6.35416666666667
2021-12-18,8,1.5,4.55833333333333
2021-12-19,9.5,4,6.1375
2021-12-20,11.5,4,6.45833333333333
2021-12-21,12,1.5,5.85416666666667
2021-12-22,10.5,5,7.42916666666667
2021-12-23,18,8,11.4583333333333
2021-12-24,18.5,8,11.1958333333333
2021-12-25,11,5,8.3375
2021-12-26,9.5,3.5,6.40416666666667
2021-12-27,17,3,8.225
2021-12-28,13.5,2.5,6.325
2021-12-29,6.5,4.5,5.1875
2021-12-30,16.5,4,7.82083333333333
2021-12-31,18,2,6.65833333333333
2022-01-01,15,1,5.71666666666667
2022-01-02,18.5,-1,5.62916666666667
2022-01-03,13,2.5,7.56666666666667
2022-01-04,17,8,11.7458333333333
2022-01-05,24.5,7,11.7708333333333
2022-01-06,12.5,7.5,9.82083333333333
2022-01-07,10.5,8.5,9.58510638297872
