"Date.Time","Unit","temp","cohort","block","hour","minute","Date"
2020-09-20 20:56:00,"C",20,1,1,20,56,2020-09-20
2020-09-20 21:56:00,"C",19.5,1,1,21,56,2020-09-20
2020-09-20 22:56:00,"C",19,1,1,22,56,2020-09-20
2020-09-20 23:56:00,"C",18,1,1,23,56,2020-09-20
2020-09-21 00:56:00,"C",17.5,1,1,0,56,2020-09-21
2020-09-21 01:56:00,"C",17,1,1,1,56,2020-09-21
2020-09-21 02:56:00,"C",16.5,1,1,2,56,2020-09-21
2020-09-21 03:56:00,"C",16,1,1,3,56,2020-09-21
2020-09-21 04:56:00,"C",15.5,1,1,4,56,2020-09-21
2020-09-21 05:56:00,"C",15,1,1,5,56,2020-09-21
2020-09-21 06:56:00,"C",14,1,1,6,56,2020-09-21
2020-09-21 07:56:00,"C",14,1,1,7,56,2020-09-21
2020-09-21 08:56:00,"C",15,1,1,8,56,2020-09-21
2020-09-21 09:56:00,"C",19.5,1,1,9,56,2020-09-21
2020-09-21 10:56:00,"C",22,1,1,10,56,2020-09-21
2020-09-21 11:56:00,"C",24,1,1,11,56,2020-09-21
2020-09-21 12:56:00,"C",24,1,1,12,56,2020-09-21
2020-09-21 13:56:00,"C",26,1,1,13,56,2020-09-21
2020-09-21 14:56:00,"C",26,1,1,14,56,2020-09-21
2020-09-21 15:56:00,"C",27,1,1,15,56,2020-09-21
2020-09-21 16:56:00,"C",25.5,1,1,16,56,2020-09-21
2020-09-21 17:56:00,"C",25,1,1,17,56,2020-09-21
2020-09-21 18:56:00,"C",22.5,1,1,18,56,2020-09-21
2020-09-21 19:56:00,"C",20.5,1,1,19,56,2020-09-21
2020-09-21 20:56:00,"C",19.5,1,1,20,56,2020-09-21
2020-09-21 21:56:00,"C",18.5,1,1,21,56,2020-09-21
2020-09-21 22:56:00,"C",18,1,1,22,56,2020-09-21
2020-09-21 23:56:00,"C",17.5,1,1,23,56,2020-09-21
2020-09-22 00:56:00,"C",17,1,1,0,56,2020-09-22
2020-09-22 01:56:00,"C",16.5,1,1,1,56,2020-09-22
2020-09-22 02:56:00,"C",16.5,1,1,2,56,2020-09-22
2020-09-22 03:56:00,"C",16,1,1,3,56,2020-09-22
2020-09-22 04:56:00,"C",15.5,1,1,4,56,2020-09-22
2020-09-22 05:56:00,"C",15.5,1,1,5,56,2020-09-22
2020-09-22 06:56:00,"C",15,1,1,6,56,2020-09-22
2020-09-22 07:56:00,"C",15,1,1,7,56,2020-09-22
2020-09-22 08:56:00,"C",16,1,1,8,56,2020-09-22
2020-09-22 09:56:00,"C",21,1,1,9,56,2020-09-22
2020-09-22 10:56:00,"C",23.5,1,1,10,56,2020-09-22
2020-09-22 11:56:00,"C",25,1,1,11,56,2020-09-22
2020-09-22 12:56:00,"C",27.5,1,1,12,56,2020-09-22
2020-09-22 13:56:00,"C",27.5,1,1,13,56,2020-09-22
2020-09-22 14:56:00,"C",28,1,1,14,56,2020-09-22
2020-09-22 15:56:00,"C",27,1,1,15,56,2020-09-22
2020-09-22 16:56:00,"C",27,1,1,16,56,2020-09-22
2020-09-22 17:56:00,"C",24.5,1,1,17,56,2020-09-22
2020-09-22 18:56:00,"C",22.5,1,1,18,56,2020-09-22
2020-09-22 19:56:00,"C",21,1,1,19,56,2020-09-22
2020-09-22 20:56:00,"C",20,1,1,20,56,2020-09-22
2020-09-22 21:56:00,"C",19,1,1,21,56,2020-09-22
2020-09-22 22:56:00,"C",18,1,1,22,56,2020-09-22
2020-09-22 23:56:00,"C",17,1,1,23,56,2020-09-22
2020-09-23 00:56:00,"C",16.5,1,1,0,56,2020-09-23
2020-09-23 01:56:00,"C",15.5,1,1,1,56,2020-09-23
2020-09-23 02:56:00,"C",15,1,1,2,56,2020-09-23
2020-09-23 03:56:00,"C",14.5,1,1,3,56,2020-09-23
