"","Population","Cohort","Old.Block","Old.Replicate","New.Block","New.Position","germdate","Notes","plantdate","germjul","plantjul","days2germ","plantSep","germSep","days2germ2","planted","germinated","water.date","RegermSep","Redays2germ","mean.Temp"
"22","CAAN1",7,1,6,11,"F_08",2021-09-21,"","2020-12-11",264,346,284,101,385,284,1,1,2021-09-15,6,6,22.0922619047619
"23","CAAN2",3,1,8,12,"B_13",2021-09-21,"","2020-10-16",264,290,340,45,385,340,1,1,2021-09-15,6,6,22.0922619047619
"24","STDI",6,1,4,12,"C_08",2021-09-21,"","2020-11-27",264,332,298,87,385,298,1,1,2021-09-15,6,6,22.0922619047619
"25","CAAN1",7,1,12,12,"D_13",2021-09-21,"","2020-12-11",264,346,284,101,385,284,1,1,2021-09-15,6,6,22.0922619047619
"26","CAAN1",4,3,3,12,"I_03",2021-09-21,"","2020-10-30",264,304,326,59,385,326,1,1,2021-09-15,6,6,22.0922619047619
"27","CAAN2",3,2,10,10,"F_12",2021-09-21,"","2020-10-16",264,290,340,45,385,340,1,1,2021-09-15,6,6,22.0922619047619
"28","CAAN2",4,1,2,7,"A_10",2021-09-22,"pulled 4 fitness 2021-10-07","2020-10-30",265,304,327,59,386,327,1,1,2021-09-15,7,7,22.2411458333333
"29","CAAN1",4,3,14,5,"B_17",2021-09-22,"","2020-10-30",265,304,327,59,386,327,1,1,2021-09-15,7,7,22.2411458333333
"30","CAAN2",6,1,1,5,"C_09",2021-09-22,"P","2020-11-27",265,332,299,87,386,299,1,1,2021-09-15,7,7,22.2411458333333
"31","STGL1",7,2,14,5,"D_09",2021-09-22,"P 10/7","2020-12-11",265,346,285,101,386,285,1,1,2021-09-15,7,7,22.2411458333333
"32","CAIN3",5,2,2,6,"C_05",2021-09-22,"P 10/7","2020-11-13",265,318,313,73,386,313,1,1,2021-09-15,7,7,22.2411458333333
"33","CAIN3",7,1,2,6,"C_11",2021-09-22,"P 10/12/21","2020-12-11",265,346,285,101,386,285,1,1,2021-09-15,7,7,22.2411458333333
"34","CACO1",7,3,2,6,"D_18",2021-09-22,"","2020-12-11",265,346,285,101,386,285,1,1,2021-09-15,7,7,22.2411458333333
"35","CACO1",6,1,2,6,"E_05",2021-09-22,"","2020-11-27",265,332,299,87,386,299,1,1,2021-09-15,7,7,22.2411458333333
"36","CAAN2",5,3,14,2,"E_20",2021-09-22,"P 10/07","2020-11-13",265,318,313,73,386,313,1,1,2021-09-15,7,7,22.2411458333333
