"","Population","Cohort","Old.Block","Old.Replicate","New.Block","New.Position","germdate","Notes","plantdate","germjul","plantjul","days2germ","plantSep","germSep","days2germ2","planted","germinated","water.date","RegermSep","Redays2germ","mean.Temp"
"586","STTO-BH",2,1,4,5,"E_15",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"587","CAIN3",5,1,16,5,"E_16",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"588","blank",4,3,4,5,"E_17",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"589","STGL1",7,1,4,5,"E_19",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"590","STTO-BH",4,2,7,5,"E_20",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"591","CAAN2",4,1,10,5,"F_01",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"592","STTO-BH",6,3,10,5,"F_02",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"593","CAAN2",7,2,15,5,"F_03",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"594","blank",3,1,1,5,"F_04",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"595","CAAN1",6,1,16,5,"F_05",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"596","STBR3",7,2,15,5,"F_06",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"597","CAAN2",2,1,1,5,"F_07",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"598","CAAN1",7,2,5,5,"F_09",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"599","STDI",4,1,11,5,"F_10",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"600","STGL1",7,3,1,5,"F_11",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"601","STBR3",6,2,5,5,"F_12",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"602","STDI",2,3,4,5,"F_13",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"603","STTO-BH",5,1,13,5,"F_15",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"604","CAAM-GB",5,1,12,5,"F_16",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"605","STPO1",1,2,6,5,"F_17",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"606","STTO-BH",4,3,10,5,"F_18",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"607","CAAM-GB",4,1,2,5,"F_20",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"608","STIN",2,1,3,5,"G_01",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"609","CAIN3",4,2,7,5,"G_02",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"610","CAAN2",5,1,3,5,"G_03",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"611","STPO1",5,3,16,5,"G_04",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"612","CAAN2",2,2,16,5,"G_05",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"613","STDI",7,2,12,5,"G_06",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"614","STDR2",2,1,2,5,"G_07",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"615","STBR3",1,1,6,5,"G_08",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"616","STIN",5,3,11,5,"G_09",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"617","CAIN3",5,1,4,5,"G_10",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"618","STIN",2,3,1,5,"G_11",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"619","CAAN2",7,1,15,5,"G_12",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"620","CAIN3",2,1,4,5,"G_13",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"621","STBR3",1,2,3,5,"G_14",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"622","CAAM-GB",1,1,6,5,"G_15",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"623","CAAM-GB",5,2,11,5,"G_16",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"624","CAIN3",5,1,12,5,"G_17",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"625","STPO1",6,3,10,5,"G_18",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"627","STIN",4,3,3,5,"G_20",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"628","CAAN1",1,1,9,5,"H_02",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"629","CAAM-GB",5,2,6,5,"H_03",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"630","STDI",6,3,13,5,"H_04",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"631","CAAN1",6,1,14,5,"H_05",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"632","STBR3",5,1,13,5,"H_06",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"633","CAIN4",7,3,10,5,"H_07",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"634","STIN",7,3,12,5,"H_08",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"635","STIN",5,2,3,5,"H_09",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"636","CAIN4",3,3,15,5,"H_10",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"637","STDI",3,2,1,5,"H_11",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"638","CAAN2",7,3,13,5,"H_12",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"639","CAAM-GB",4,2,15,5,"H_13",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"640","CAAN1",5,2,15,5,"H_14",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"641","CAAM-GB",3,1,1,5,"H_15",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"642","CAAN2",6,3,1,5,"H_16",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"643","CAAM-GB",1,2,14,5,"H_18",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"644","CAIN4",7,3,7,5,"H_19",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"645","CACO1",7,3,1,5,"H_20",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"646","CAIN3",7,3,2,5,"I_01",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"647","CAAM-GB",5,3,6,5,"I_02",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"648","blank",2,1,3,5,"I_03",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"649","CACO1",7,1,2,5,"I_04",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"650","CAAN2",6,3,6,5,"I_05",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"651","CAAM-GB",7,1,8,5,"I_06",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"652","CAIN4",7,3,16,5,"I_08",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"653","STGL1",6,2,16,5,"I_09",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"654","STDI",7,2,14,5,"I_10",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"655","STDI",2,3,12,5,"I_11",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"656","CAAN2",1,2,14,5,"I_12",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"657","CAIN4",6,3,9,5,"I_13",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"658","STBR3",1,2,5,5,"I_14",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"659","CAIN4",5,1,4,5,"I_15",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"660","STPO1",4,3,6,5,"I_17",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"661","CAAM-GB",1,2,12,5,"I_19",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"662","blank",2,1,2,5,"I_20",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"664","CAAN1",1,1,10,5,"J_02",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"665","CAIN3",7,3,9,5,"J_03",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"666","CAAM-GB",1,3,13,5,"J_04",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"667","CAIN3",2,2,12,5,"J_05",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"668","CAAM-GB",7,1,12,5,"J_06",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"669","CAIN3",7,3,11,5,"J_08",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"670","CAAN1",4,1,12,5,"J_09",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"671","STGL1",4,3,5,5,"J_10",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"672","CAAN2",4,1,11,5,"J_11",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"673","STGL1",6,3,15,5,"J_12",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"674","CAAN1",1,3,12,5,"J_14",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"675","CAAN2",7,3,6,5,"J_15",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"676","STTO-BH",5,1,14,5,"J_16",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"677","blank",5,1,2,5,"J_17",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"678","STDI",7,1,14,5,"J_18",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"679","STDR2",4,2,14,5,"J_20",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"680","CAIN3",7,2,2,8,"A_01",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"681","CAIN4",7,2,10,8,"A_02",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"682","STBR3",7,1,8,8,"A_03",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"683","CAIN4",5,1,15,8,"A_04",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"684","STDR2",6,1,3,8,"A_06",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"685","CAAN2",2,2,10,8,"A_07",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"686","STIN",2,2,5,8,"A_08",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"687","STBR3",4,3,13,8,"A_09",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"688","CAAM-GB",4,3,2,8,"A_10",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"689","STDR2",5,3,5,8,"A_11",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"690","CAAN1",3,1,10,8,"A_12",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"691","STTO-BH",4,3,15,8,"A_13",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"692","STDR2",7,1,12,8,"A_14",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"693","blank",1,2,1,8,"A_15",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"694","STDI",7,2,3,8,"A_16",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"695","STGL1",5,3,1,8,"A_17",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"696","CAIN4",6,3,3,8,"A_18",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"697","CAIN3",2,2,3,8,"A_19",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"698","STBR3",3,1,6,8,"A_20",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"699","STGL1",7,2,15,8,"B_01",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"700","STIN",4,3,12,8,"B_02",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"701","STPO1",7,2,16,8,"B_03",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"702","STGL1",5,2,4,8,"B_04",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"703","CAAN2",7,2,12,8,"B_06",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"704","STGL1",4,1,10,8,"B_08",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"705","STBR3",7,3,3,8,"B_09",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"706","STGL1",6,3,3,8,"B_10",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"707","blank",6,1,1,8,"B_11",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"708","STTO-BH",5,1,6,8,"B_12",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"709","STDI",1,2,13,8,"B_13",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"710","STGL1",4,1,14,8,"B_14",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"711","CAAN2",2,3,6,8,"B_15",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"712","STGL1",3,2,1,8,"B_16",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"713","STPO1",5,2,9,8,"B_17",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"714","CAIN3",3,3,9,8,"B_18",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"715","STDR2",3,3,15,8,"B_19",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"716","STDR2",3,2,7,8,"B_20",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"717","STDR2",7,2,12,8,"C_01",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"718","STIN",1,3,15,8,"C_02",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"719","STBR3",3,2,7,8,"C_03",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"720","STDR2",7,1,11,8,"C_04",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"721","STIN",6,2,6,8,"C_06",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"722","CAAM-GB",3,3,11,8,"C_07",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"723","STDI",1,2,2,8,"C_08",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"724","CAAN1",3,3,16,8,"C_09",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"725","CAAN2",3,2,1,8,"C_10",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"726","STPO1",6,1,15,8,"C_11",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"727","CAIN4",5,3,4,8,"C_12",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"728","CAAN2",1,1,5,8,"C_13",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"729","STTO-BH",5,3,12,8,"C_14",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"730","CAAM-GB",2,1,7,8,"C_15",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"731","CAAN2",4,2,11,8,"C_16",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"732","CAAN1",3,1,7,8,"C_17",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"733","STDI",5,1,2,8,"C_18",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"734","CAIN3",4,1,5,8,"C_19",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"735","STGL1",5,2,16,8,"C_20",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"736","CAIN4",4,2,8,8,"D_01",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"737","CAAM-GB",7,3,6,8,"D_02",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"738","CAAN1",4,2,1,8,"D_03",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"739","STIN",7,1,8,8,"D_05",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"740","CAIN4",4,3,1,8,"D_06",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"741","CAIN3",4,3,2,8,"D_09",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"742","CAAN2",6,2,7,8,"D_10",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"743","STPO1",6,1,1,8,"D_11",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"744","STTO-BH",4,1,12,8,"D_12",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"745","STIN",2,3,6,8,"D_13",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"746","STTO-BH",2,3,1,8,"D_14",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"747","CAAN2",1,1,10,8,"D_16",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"748","blank",3,2,2,8,"D_17",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"749","CAAN2",6,3,8,8,"D_18",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"750","CAIN4",3,3,7,8,"D_19",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"751","STDI",3,2,10,8,"D_20",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"752","CAAM-GB",6,3,12,8,"E_01",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"753","blank",6,1,4,8,"E_02",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"754","CAAN1",3,1,11,8,"E_03",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"755","CAIN4",7,1,16,8,"E_04",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"756","STDI",7,3,4,8,"E_05",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"757","STPO1",6,3,15,8,"E_06",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"758","STIN",5,1,7,8,"E_07",NA,"","2020-11-13",NA,318,NA,73,NA,NA,1,0,2021-09-15,NA,NA,NA
"759","STIN",4,2,2,8,"E_09",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"760","STBR3",4,2,1,8,"E_10",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"761","CAIN3",6,1,9,8,"E_11",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"762","CAIN3",7,1,10,8,"E_13",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"763","CAAN2",1,3,3,8,"E_14",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"764","CAAM-GB",7,2,5,8,"E_15",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"765","STIN",7,2,6,8,"E_16",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"766","CAAN1",3,1,14,8,"E_17",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"767","STIN",7,3,10,8,"E_18",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"768","CAIN4",4,1,14,8,"E_19",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"769","STGL1",7,1,11,8,"E_20",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"770","CAIN3",6,2,4,8,"F_01",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"771","STIN",3,2,12,8,"F_02",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"772","CAAN1",4,2,6,8,"F_03",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"773","STBR3",7,3,7,8,"F_04",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"774","STBR3",1,2,11,8,"F_05",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
"775","STDI",6,2,13,8,"F_06",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"776","CAIN4",3,2,15,8,"F_07",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"777","STGL1",4,1,12,8,"F_09",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"778","CAAM-GB",3,3,13,8,"F_10",NA,"","2020-10-16",NA,290,NA,45,NA,NA,1,0,2021-09-15,NA,NA,NA
"779","STGL1",4,1,6,8,"F_11",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"780","STTO-BH",7,3,16,8,"F_13",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"781","STIN",7,2,4,8,"F_16",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"782","STIN",2,1,2,8,"F_17",NA,"","2020-10-02",NA,276,NA,31,NA,NA,1,0,2021-09-15,NA,NA,NA
"783","CAIN3",4,2,15,8,"F_19",NA,"","2020-10-30",NA,304,NA,59,NA,NA,1,0,2021-09-15,NA,NA,NA
"784","CAIN4",7,1,10,8,"F_20",NA,"","2020-12-11",NA,346,NA,101,NA,NA,1,0,2021-09-15,NA,NA,NA
"785","CAAN1",6,1,1,8,"G_01",NA,"","2020-11-27",NA,332,NA,87,NA,NA,1,0,2021-09-15,NA,NA,NA
"786","CAAM-GB",1,1,8,8,"G_02",NA,"","2020-09-17",NA,261,NA,16,NA,NA,1,0,2021-09-15,NA,NA,NA
