Cohort,Block,count,sample,temp.diff,Pop,mean.temp
5,2,11,16,25.29396211,stbr3,11.19123359
5,3,12,16,25.39814733,stbr3,11.08704837
6,1,5,16,26.90314949,stbr3,9.582046209
6,2,8,16,26.8380196,stbr3,9.647176098
6,3,7,16,26.80572327,stbr3,9.67947243
7,1,6,16,28.15977566,stbr3,8.325420034
7,2,9,16,28.01877526,stbr3,8.466420441
7,3,4,16,28.08286635,stbr3,8.402329347
1,1,12,16,8.699644363,stdi,20.41554532
1,2,8,16,8.715955271,stdi,20.39923441
1,3,6,16,8.642097997,stdi,20.47309168
2,1,13,16,8.324938168,stdi,20.79025151
2,2,12,16,8.407984059,stdi,20.70720562
2,3,9,16,8.359791223,stdi,20.75539846
3,1,13,16,9.643179181,stdi,19.4720105
3,2,10,16,9.426660899,stdi,19.68852878
3,3,13,16,9.746026161,stdi,19.36916352
4,1,3,16,15.02339412,stdi,14.09179556
4,2,8,16,14.94811559,stdi,14.16707409
4,3,6,16,14.85938651,stdi,14.25580317
5,1,4,16,17.73558319,stdi,11.3796065
5,2,3,16,17.58655181,stdi,11.52863787
5,3,8,16,17.77409314,stdi,11.34109654
6,1,3,16,19.78735586,stdi,9.327833815
6,2,6,16,20.17462595,stdi,8.940563725
6,3,6,16,20.04080923,stdi,9.074380447
7,1,2,16,21.01482962,stdi,8.100360069
7,2,1,16,20.8282243,stdi,8.286965377
7,3,2,16,20.89076522,stdi,8.224424465
1,1,15,16,6.921080404,stdr2,19.82919757
1,2,13,16,6.626926847,stdr2,20.12335112
1,3,16,16,6.523005707,stdr2,20.22727226
2,1,4,16,7.850723562,stdr2,18.89955441
2,2,12,16,7.897748963,stdr2,18.85252901
2,3,8,16,7.726166304,stdr2,19.02411167
3,1,9,16,9.307506188,stdr2,17.44277178
3,2,15,16,8.541040066,stdr2,18.20923791
3,3,7,16,9.511834614,stdr2,17.23844336
4,1,5,16,13.59981036,stdr2,13.15046761
4,2,9,16,13.20145514,stdr2,13.54882283
4,3,5,16,13.59916344,stdr2,13.15111453
5,1,8,16,15.53195457,stdr2,11.2183234
5,2,6,16,15.57137277,stdr2,11.17890521
5,3,7,16,15.69205642,stdr2,11.05822155
6,1,7,16,17.11811421,stdr2,9.632163759
6,2,9,16,17.1058177,stdr2,9.644460264
6,3,8,16,17.04708395,stdr2,9.703194018
7,1,0,16,NA,stdr2,NA
7,2,1,16,18.23258465,stdr2,8.517693316
7,3,0,16,NA,stdr2,NA
1,1,12,16,5.417337611,stgl1,20.53383643
1,2,6,16,6.349553212,stgl1,19.60162083
1,3,11,16,5.590410512,stgl1,20.36076353
2,1,12,16,6.950915296,stgl1,19.00025875
2,2,13,16,7.135159887,stgl1,18.81601415
2,3,15,16,6.90705159,stgl1,19.04412245
3,1,13,16,7.481236321,stgl1,18.46993772
3,2,10,16,7.254019687,stgl1,18.69715436
3,3,12,16,7.840256153,stgl1,18.11091789
4,1,7,16,12.40443619,stgl1,13.54673785
4,2,9,16,13.06503882,stgl1,12.88613522
4,3,2,16,12.93461147,stgl1,13.01656258
5,1,5,16,14.64110335,stgl1,11.31007069
5,2,3,16,14.81273557,stgl1,11.13843847
5,3,3,16,14.79655849,stgl1,11.15461555
6,1,4,16,16.46707792,stgl1,9.484096123
6,2,2,16,16.15127908,stgl1,9.799894958
6,3,2,16,16.70768721,stgl1,9.243486835
7,1,0,16,NA,stgl1,NA
7,2,1,16,17.97245435,stgl1,7.978719693
7,3,1,16,17.45638322,stgl1,8.494790819
1,1,6,16,5.58967105,stin,20.33243468
1,2,10,16,5.46690246,stin,20.45520327
1,3,10,16,5.564972584,stin,20.35713315
2,1,5,16,6.364859712,stin,19.55724602
2,2,9,16,5.813636271,stin,20.10846946
2,3,6,16,5.835431033,stin,20.0866747
3,1,7,16,6.457429218,stin,19.46467651
3,2,6,16,6.543808315,stin,19.37829742
3,3,12,16,7.015930736,stin,18.90617499
4,1,8,16,12.48598503,stin,13.4361207
4,2,3,16,12.04982567,stin,13.87228006
4,3,2,16,11.93531742,stin,13.98678832
5,1,2,16,14.76354306,stin,11.15856267
5,2,1,16,14.71497577,stin,11.20712996
5,3,1,16,14.77538442,stin,11.14672131
6,1,5,16,16.32819128,stin,9.593914455
6,2,5,16,16.44311148,stin,9.478994244
6,3,4,16,16.27636196,stin,9.645743767
7,1,1,16,17.40441241,stin,8.517693316
7,2,1,16,17.63514035,stin,8.286965377
7,3,4,16,17.51713115,stin,8.404974577
1,1,14,16,0.991652133,stpo1,20.47410161
1,2,11,16,1.086353332,stpo1,20.37940041
1,3,13,16,1.056905014,stpo1,20.40884873
2,1,13,16,1.757377762,stpo1,19.70837598
2,2,14,16,1.661895118,stpo1,19.80385862
2,3,13,16,1.511945209,stpo1,19.95380853
3,1,12,16,2.650917644,stpo1,18.8148361
3,2,15,16,2.998180587,stpo1,18.46757315
3,3,13,16,2.684605566,stpo1,18.78114817
4,1,14,16,7.525662213,stpo1,13.94009153
4,2,11,16,7.342366603,stpo1,14.12338714
4,3,13,16,7.877750027,stpo1,13.58800371
5,1,9,16,10.13954238,stpo1,11.32621136
5,2,10,16,10.17408032,stpo1,11.29167342
5,3,8,16,10.26224757,stpo1,11.20350617
6,1,10,16,11.98197035,stpo1,9.483783389
6,2,8,16,11.8465866,stpo1,9.619167138
6,3,10,16,11.80697353,stpo1,9.658780211
7,1,13,16,13.11712752,stpo1,8.348626217
7,2,10,16,13.22511648,stpo1,8.24063726
7,3,5,16,13.12216324,stpo1,8.343590501
1,1,15,16,1.027941539,stto,20.41105506
1,2,15,16,1.017869299,stto,20.4211273
1,3,15,16,1.013443096,stto,20.4255535
2,1,7,16,0.926214167,stto,20.51278244
2,2,12,16,0.740234358,stto,20.69876224
2,3,11,16,0.806187279,stto,20.63280932
3,1,16,16,1.842457107,stto,19.5965395
3,2,16,16,1.905937578,stto,19.53305902
3,3,16,16,2.038033229,stto,19.40096337
4,1,4,16,7.224195336,stto,14.21480127
4,2,4,16,7.196643985,stto,14.24235262
4,3,3,16,7.271565833,stto,14.16743077
5,1,11,16,10.1216815,stto,11.3173151
5,2,11,16,9.854025622,stto,11.58497098
5,3,12,16,9.925710743,stto,11.51328586
6,1,14,16,12.34042432,stto,9.098572281
6,2,13,16,12.29375393,stto,9.145242672
6,3,12,16,12.17371108,stto,9.265285521
7,1,7,16,13.16131193,stto,8.277684672
7,2,7,16,13.3210387,stto,8.1179579
7,3,7,16,13.25117538,stto,8.187821218
1,1,2,16,,caam,19.93460473
1,2,2,16,,caam,20.37022616
1,3,1,16,,caam,20.43646409
2,1,4,16,,caam,19.01365566
2,2,4,16,,caam,19.13583517
2,3,3,16,,caam,17.6746531
3,1,2,16,,caam,17.06967662
3,2,5,16,,caam,17.17953827
3,3,8,16,,caam,16.36697993
4,1,1,16,,caam,12.80940506
4,2,4,16,,caam,13.01454688
4,3,4,16,,caam,11.8995956
5,1,1,16,,caam,10.3205871
5,2,1,16,,caam,11.10999538
5,3,1,16,,caam,10.06048581
6,1,0,16,,caam,NA
6,2,0,16,,caam,NA
6,3,3,16,,caam,9.036944699
7,1,0,16,,caam,NA
7,2,1,16,,caam,8.517693316
7,3,0,16,,caam,NA
