Date.Time,Unit,temp,block,hour,minute,Date
8/13/21 9:05,C,24,4,9,5,8/13/21
8/13/21 10:05,C,25,4,10,5,8/13/21
8/13/21 11:05,C,30,4,11,5,8/13/21
8/13/21 12:05,C,35,4,12,5,8/13/21
8/13/21 13:05,C,38.5,4,13,5,8/13/21
8/13/21 14:05,C,40.5,4,14,5,8/13/21
8/13/21 15:05,C,42,4,15,5,8/13/21
8/13/21 16:05,C,42,4,16,5,8/13/21
8/13/21 17:05,C,40.5,4,17,5,8/13/21
8/13/21 18:05,C,39,4,18,5,8/13/21
8/13/21 19:05,C,35,4,19,5,8/13/21
8/13/21 20:05,C,31.5,4,20,5,8/13/21
8/13/21 21:05,C,29,4,21,5,8/13/21
8/13/21 22:05,C,27,4,22,5,8/13/21
8/13/21 23:05,C,26,4,23,5,8/13/21
8/14/21 0:05,C,25,4,0,5,8/14/21
8/14/21 1:05,C,24,4,1,5,8/14/21
8/14/21 2:05,C,23.5,4,2,5,8/14/21
8/14/21 3:05,C,23,4,3,5,8/14/21
8/14/21 4:05,C,22.5,4,4,5,8/14/21
8/14/21 5:05,C,22,4,5,5,8/14/21
8/14/21 6:05,C,21,4,6,5,8/14/21
8/14/21 7:05,C,20.5,4,7,5,8/14/21
8/14/21 8:05,C,22,4,8,5,8/14/21
8/14/21 9:05,C,26.5,4,9,5,8/14/21
8/14/21 10:05,C,31,4,10,5,8/14/21
8/14/21 11:05,C,35.5,4,11,5,8/14/21
8/14/21 12:05,C,39.5,4,12,5,8/14/21
8/14/21 13:05,C,43,4,13,5,8/14/21
8/14/21 14:05,C,45,4,14,5,8/14/21
8/14/21 15:05,C,46,4,15,5,8/14/21
8/14/21 16:05,C,45,4,16,5,8/14/21
8/14/21 17:05,C,43.5,4,17,5,8/14/21
8/14/21 18:05,C,41,4,18,5,8/14/21
8/14/21 19:05,C,37.5,4,19,5,8/14/21
8/14/21 20:05,C,33,4,20,5,8/14/21
8/14/21 21:05,C,29,4,21,5,8/14/21
8/14/21 22:05,C,26.5,4,22,5,8/14/21
8/14/21 23:05,C,24.5,4,23,5,8/14/21
8/15/21 0:05,C,23,4,0,5,8/15/21
8/15/21 1:05,C,22,4,1,5,8/15/21
8/15/21 2:05,C,21,4,2,5,8/15/21
8/15/21 3:05,C,20,4,3,5,8/15/21
8/15/21 4:05,C,19.5,4,4,5,8/15/21
8/15/21 5:05,C,19.5,4,5,5,8/15/21
8/15/21 6:05,C,19,4,6,5,8/15/21
8/15/21 7:05,C,19,4,7,5,8/15/21
8/15/21 8:05,C,20,4,8,5,8/15/21
8/15/21 9:05,C,25,4,9,5,8/15/21
8/15/21 10:05,C,29.5,4,10,5,8/15/21
8/15/21 11:05,C,33.5,4,11,5,8/15/21
8/15/21 12:05,C,37,4,12,5,8/15/21
8/15/21 13:05,C,39.5,4,13,5,8/15/21
8/15/21 14:05,C,41,4,14,5,8/15/21
8/15/21 15:05,C,42,4,15,5,8/15/21
8/15/21 16:05,C,42,4,16,5,8/15/21
8/15/21 17:05,C,40.5,4,17,5,8/15/21
8/15/21 18:05,C,38.5,4,18,5,8/15/21
8/15/21 19:05,C,35,4,19,5,8/15/21
8/15/21 20:05,C,31.5,4,20,5,8/15/21
8/15/21 21:05,C,28.5,4,21,5,8/15/21
8/15/21 22:05,C,26,4,22,5,8/15/21
8/15/21 23:05,C,24.5,4,23,5,8/15/21
8/16/21 0:05,C,23.5,4,0,5,8/16/21
8/16/21 1:05,C,22.5,4,1,5,8/16/21
8/16/21 2:05,C,22,4,2,5,8/16/21
8/16/21 3:05,C,21.5,4,3,5,8/16/21
8/16/21 4:05,C,21,4,4,5,8/16/21
8/16/21 5:05,C,20.5,4,5,5,8/16/21
8/16/21 6:05,C,20,4,6,5,8/16/21
8/16/21 7:05,C,20,4,7,5,8/16/21
8/16/21 8:05,C,20.5,4,8,5,8/16/21
8/16/21 9:05,C,24,4,9,5,8/16/21
8/16/21 10:05,C,28,4,10,5,8/16/21
8/16/21 11:05,C,33.5,4,11,5,8/16/21
8/16/21 12:05,C,38,4,12,5,8/16/21
8/16/21 13:05,C,41,4,13,5,8/16/21
8/16/21 14:05,C,43,4,14,5,8/16/21
8/16/21 15:05,C,44.5,4,15,5,8/16/21
8/16/21 16:05,C,44,4,16,5,8/16/21
8/16/21 17:05,C,43,4,17,5,8/16/21
8/16/21 18:05,C,41.5,4,18,5,8/16/21
8/16/21 19:05,C,38.5,4,19,5,8/16/21
8/16/21 20:05,C,34.5,4,20,5,8/16/21
8/16/21 21:05,C,31,4,21,5,8/16/21
8/16/21 22:05,C,28,4,22,5,8/16/21
8/16/21 23:05,C,25.5,4,23,5,8/16/21
8/17/21 0:05,C,24.5,4,0,5,8/17/21
8/17/21 1:05,C,23.5,4,1,5,8/17/21
8/17/21 2:05,C,22,4,2,5,8/17/21
8/17/21 3:05,C,21,4,3,5,8/17/21
8/17/21 4:05,C,20.5,4,4,5,8/17/21
8/17/21 5:05,C,20,4,5,5,8/17/21
8/17/21 6:05,C,19.5,4,6,5,8/17/21
8/17/21 7:05,C,19,4,7,5,8/17/21
8/17/21 8:05,C,20.5,4,8,5,8/17/21
8/17/21 9:05,C,24.5,4,9,5,8/17/21
8/17/21 10:05,C,27,4,10,5,8/17/21
8/17/21 11:05,C,28,4,11,5,8/17/21
8/17/21 12:05,C,30.5,4,12,5,8/17/21
8/17/21 13:05,C,34,4,13,5,8/17/21
8/17/21 14:05,C,37,4,14,5,8/17/21
8/17/21 15:05,C,38.5,4,15,5,8/17/21
8/17/21 16:05,C,38.5,4,16,5,8/17/21
8/17/21 17:05,C,37.5,4,17,5,8/17/21
8/17/21 18:05,C,36,4,18,5,8/17/21
8/17/21 19:05,C,33.5,4,19,5,8/17/21
8/17/21 20:05,C,30,4,20,5,8/17/21
8/17/21 21:05,C,27.5,4,21,5,8/17/21
8/17/21 22:05,C,25,4,22,5,8/17/21
8/17/21 23:05,C,23,4,23,5,8/17/21
8/18/21 0:05,C,21.5,4,0,5,8/18/21
8/18/21 1:05,C,20.5,4,1,5,8/18/21
8/18/21 2:05,C,19.5,4,2,5,8/18/21
8/18/21 3:05,C,18.5,4,3,5,8/18/21
8/18/21 4:05,C,18.5,4,4,5,8/18/21
8/18/21 5:05,C,18,4,5,5,8/18/21
8/18/21 6:05,C,18,4,6,5,8/18/21
8/18/21 7:05,C,19.5,4,7,5,8/18/21
8/18/21 8:05,C,21.5,4,8,5,8/18/21
8/18/21 9:05,C,23,4,9,5,8/18/21
8/18/21 10:05,C,25,4,10,5,8/18/21
8/18/21 11:05,C,27,4,11,5,8/18/21
8/18/21 12:05,C,28.5,4,12,5,8/18/21
8/18/21 13:05,C,30,4,13,5,8/18/21
8/18/21 14:05,C,31,4,14,5,8/18/21
8/18/21 15:05,C,32,4,15,5,8/18/21
8/18/21 16:05,C,33,4,16,5,8/18/21
8/18/21 17:05,C,34,4,17,5,8/18/21
8/18/21 18:05,C,33,4,18,5,8/18/21
8/18/21 19:05,C,31.5,4,19,5,8/18/21
8/18/21 20:05,C,29,4,20,5,8/18/21
8/18/21 21:05,C,27,4,21,5,8/18/21
8/18/21 22:05,C,25,4,22,5,8/18/21
8/18/21 23:05,C,23.5,4,23,5,8/18/21
8/19/21 0:05,C,22,4,0,5,8/19/21
8/19/21 1:05,C,21,4,1,5,8/19/21
8/19/21 2:05,C,19.5,4,2,5,8/19/21
8/19/21 3:05,C,19,4,3,5,8/19/21
8/19/21 4:05,C,18.5,4,4,5,8/19/21
8/19/21 5:05,C,17.5,4,5,5,8/19/21
8/19/21 6:05,C,17,4,6,5,8/19/21
8/19/21 7:05,C,16.5,4,7,5,8/19/21
8/19/21 8:05,C,17,4,8,5,8/19/21
8/19/21 9:05,C,21,4,9,5,8/19/21
8/19/21 10:05,C,25,4,10,5,8/19/21
8/19/21 11:05,C,29,4,11,5,8/19/21
8/19/21 12:05,C,32.5,4,12,5,8/19/21
8/19/21 13:05,C,34.5,4,13,5,8/19/21
8/19/21 14:05,C,36,4,14,5,8/19/21
8/19/21 15:05,C,38,4,15,5,8/19/21
8/19/21 16:05,C,37,4,16,5,8/19/21
8/19/21 17:05,C,35.5,4,17,5,8/19/21
8/19/21 18:05,C,34,4,18,5,8/19/21
8/19/21 19:05,C,31.5,4,19,5,8/19/21
8/19/21 20:05,C,28.5,4,20,5,8/19/21
8/19/21 21:05,C,26,4,21,5,8/19/21
8/19/21 22:05,C,23.5,4,22,5,8/19/21
8/19/21 23:05,C,22,4,23,5,8/19/21
8/20/21 0:05,C,20.5,4,0,5,8/20/21
8/20/21 1:05,C,19.5,4,1,5,8/20/21
8/20/21 2:05,C,19,4,2,5,8/20/21
8/20/21 3:05,C,18,4,3,5,8/20/21
8/20/21 4:05,C,17,4,4,5,8/20/21
8/20/21 5:05,C,16.5,4,5,5,8/20/21
8/20/21 6:05,C,16,4,6,5,8/20/21
8/20/21 7:05,C,16,4,7,5,8/20/21
8/20/21 8:05,C,17,4,8,5,8/20/21
8/20/21 9:05,C,20.5,4,9,5,8/20/21
8/20/21 10:05,C,24.5,4,10,5,8/20/21
8/20/21 11:05,C,29.5,4,11,5,8/20/21
8/20/21 12:05,C,33.5,4,12,5,8/20/21
8/20/21 13:05,C,36,4,13,5,8/20/21
8/20/21 14:05,C,37,4,14,5,8/20/21
8/20/21 15:05,C,38.5,4,15,5,8/20/21
8/20/21 16:05,C,37.5,4,16,5,8/20/21
8/20/21 17:05,C,35.5,4,17,5,8/20/21
8/20/21 18:05,C,33.5,4,18,5,8/20/21
8/20/21 19:05,C,31,4,19,5,8/20/21
8/20/21 20:05,C,28,4,20,5,8/20/21
8/20/21 21:05,C,25.5,4,21,5,8/20/21
8/20/21 22:05,C,23.5,4,22,5,8/20/21
8/20/21 23:05,C,22,4,23,5,8/20/21
8/21/21 0:05,C,20.5,4,0,5,8/21/21
8/21/21 1:05,C,19.5,4,1,5,8/21/21
8/21/21 2:05,C,19,4,2,5,8/21/21
8/21/21 3:05,C,18.5,4,3,5,8/21/21
8/21/21 4:05,C,17.5,4,4,5,8/21/21
8/21/21 5:05,C,17,4,5,5,8/21/21
8/21/21 6:05,C,17,4,6,5,8/21/21
8/21/21 7:05,C,16.5,4,7,5,8/21/21
8/21/21 8:05,C,17.5,4,8,5,8/21/21
8/21/21 9:05,C,21.5,4,9,5,8/21/21
8/21/21 10:05,C,25.5,4,10,5,8/21/21
8/21/21 11:05,C,29.5,4,11,5,8/21/21
8/21/21 12:05,C,32.5,4,12,5,8/21/21
8/21/21 13:05,C,34,4,13,5,8/21/21
8/21/21 14:05,C,34,4,14,5,8/21/21
8/21/21 15:05,C,34.5,4,15,5,8/21/21
