Date.Time,Unit,temp,block,hour,minute,Date
8/21/21 16:05,C,34,4,16,5,8/21/21
8/21/21 17:05,C,33,4,17,5,8/21/21
8/21/21 18:05,C,31.5,4,18,5,8/21/21
8/21/21 19:05,C,29,4,19,5,8/21/21
8/21/21 20:05,C,26,4,20,5,8/21/21
8/21/21 21:05,C,23.5,4,21,5,8/21/21
8/21/21 22:05,C,21.5,4,22,5,8/21/21
8/21/21 23:05,C,20,4,23,5,8/21/21
8/22/21 0:05,C,19,4,0,5,8/22/21
8/22/21 1:05,C,18,4,1,5,8/22/21
8/22/21 2:05,C,17,4,2,5,8/22/21
8/22/21 3:05,C,16.5,4,3,5,8/22/21
8/22/21 4:05,C,16,4,4,5,8/22/21
8/22/21 5:05,C,15,4,5,5,8/22/21
8/22/21 6:05,C,14.5,4,6,5,8/22/21
8/22/21 7:05,C,14.5,4,7,5,8/22/21
8/22/21 8:05,C,16,4,8,5,8/22/21
8/22/21 9:05,C,20,4,9,5,8/22/21
8/22/21 10:05,C,24.5,4,10,5,8/22/21
8/22/21 11:05,C,30.5,4,11,5,8/22/21
8/22/21 12:05,C,34,4,12,5,8/22/21
8/22/21 13:05,C,36.5,4,13,5,8/22/21
8/22/21 14:05,C,37.5,4,14,5,8/22/21
8/22/21 15:05,C,38.5,4,15,5,8/22/21
8/22/21 16:05,C,38.5,4,16,5,8/22/21
8/22/21 17:05,C,37,4,17,5,8/22/21
8/22/21 18:05,C,35,4,18,5,8/22/21
8/22/21 19:05,C,32.5,4,19,5,8/22/21
8/22/21 20:05,C,29.5,4,20,5,8/22/21
8/22/21 21:05,C,26.5,4,21,5,8/22/21
8/22/21 22:05,C,23.5,4,22,5,8/22/21
8/22/21 23:05,C,21.5,4,23,5,8/22/21
8/23/21 0:05,C,20,4,0,5,8/23/21
8/23/21 1:05,C,18.5,4,1,5,8/23/21
8/23/21 2:05,C,17.5,4,2,5,8/23/21
8/23/21 3:05,C,16.5,4,3,5,8/23/21
8/23/21 4:05,C,15.5,4,4,5,8/23/21
8/23/21 5:05,C,15,4,5,5,8/23/21
8/23/21 6:05,C,14.5,4,6,5,8/23/21
8/23/21 7:05,C,14,4,7,5,8/23/21
8/23/21 8:05,C,16,4,8,5,8/23/21
8/23/21 9:05,C,20.5,4,9,5,8/23/21
8/23/21 10:05,C,24,4,10,5,8/23/21
8/23/21 11:05,C,29,4,11,5,8/23/21
8/23/21 12:05,C,34,4,12,5,8/23/21
8/23/21 13:05,C,36.5,4,13,5,8/23/21
8/23/21 14:05,C,37.5,4,14,5,8/23/21
8/23/21 15:05,C,38,4,15,5,8/23/21
8/23/21 16:05,C,37.5,4,16,5,8/23/21
8/23/21 17:05,C,36,4,17,5,8/23/21
8/23/21 18:05,C,34,4,18,5,8/23/21
8/23/21 19:05,C,31,4,19,5,8/23/21
8/23/21 20:05,C,27.5,4,20,5,8/23/21
8/23/21 21:05,C,24.5,4,21,5,8/23/21
8/23/21 22:05,C,22,4,22,5,8/23/21
8/23/21 23:05,C,20,4,23,5,8/23/21
8/24/21 0:05,C,18.5,4,0,5,8/24/21
8/24/21 1:05,C,18,4,1,5,8/24/21
8/24/21 2:05,C,17,4,2,5,8/24/21
8/24/21 3:05,C,16.5,4,3,5,8/24/21
8/24/21 4:05,C,15.5,4,4,5,8/24/21
8/24/21 5:05,C,15,4,5,5,8/24/21
8/24/21 6:05,C,14,4,6,5,8/24/21
8/24/21 7:05,C,13.5,4,7,5,8/24/21
8/24/21 8:05,C,15.5,4,8,5,8/24/21
8/24/21 9:05,C,20.5,4,9,5,8/24/21
8/24/21 10:05,C,25.5,4,10,5,8/24/21
8/24/21 11:05,C,31,4,11,5,8/24/21
8/24/21 12:05,C,35,4,12,5,8/24/21
8/24/21 13:05,C,37.5,4,13,5,8/24/21
8/24/21 14:05,C,38.5,4,14,5,8/24/21
8/24/21 15:05,C,39.5,4,15,5,8/24/21
8/24/21 16:05,C,39,4,16,5,8/24/21
8/24/21 17:05,C,38,4,17,5,8/24/21
8/24/21 18:05,C,35.5,4,18,5,8/24/21
8/24/21 19:05,C,33,4,19,5,8/24/21
8/24/21 20:05,C,29,4,20,5,8/24/21
8/24/21 21:05,C,25.5,4,21,5,8/24/21
8/24/21 22:05,C,23,4,22,5,8/24/21
8/24/21 23:05,C,21,4,23,5,8/24/21
8/25/21 0:05,C,19.5,4,0,5,8/25/21
8/25/21 1:05,C,18.5,4,1,5,8/25/21
8/25/21 2:05,C,18,4,2,5,8/25/21
8/25/21 3:05,C,17.5,4,3,5,8/25/21
8/25/21 4:05,C,17,4,4,5,8/25/21
8/25/21 5:05,C,16.5,4,5,5,8/25/21
8/25/21 6:05,C,16,4,6,5,8/25/21
8/25/21 7:05,C,15.5,4,7,5,8/25/21
8/25/21 8:05,C,16.5,4,8,5,8/25/21
8/25/21 9:05,C,21,4,9,5,8/25/21
8/25/21 10:05,C,26,4,10,5,8/25/21
8/25/21 11:05,C,32,4,11,5,8/25/21
8/25/21 12:05,C,35.5,4,12,5,8/25/21
8/25/21 13:05,C,38,4,13,5,8/25/21
8/25/21 14:05,C,39,4,14,5,8/25/21
8/25/21 15:05,C,40,4,15,5,8/25/21
8/25/21 16:05,C,39.5,4,16,5,8/25/21
8/25/21 17:05,C,38,4,17,5,8/25/21
8/25/21 18:05,C,36.5,4,18,5,8/25/21
8/25/21 19:05,C,34,4,19,5,8/25/21
8/25/21 20:05,C,30.5,4,20,5,8/25/21
8/25/21 21:05,C,27,4,21,5,8/25/21
8/25/21 22:05,C,24,4,22,5,8/25/21
8/25/21 23:05,C,21.5,4,23,5,8/25/21
8/26/21 0:05,C,20,4,0,5,8/26/21
8/26/21 1:05,C,18.5,4,1,5,8/26/21
8/26/21 2:05,C,17.5,4,2,5,8/26/21
8/26/21 3:05,C,16.5,4,3,5,8/26/21
8/26/21 4:05,C,15.5,4,4,5,8/26/21
8/26/21 5:05,C,15,4,5,5,8/26/21
8/26/21 6:05,C,14.5,4,6,5,8/26/21
8/26/21 7:05,C,14,4,7,5,8/26/21
8/26/21 8:05,C,15.5,4,8,5,8/26/21
8/26/21 9:05,C,19.5,4,9,5,8/26/21
8/26/21 10:05,C,25.5,4,10,5,8/26/21
8/26/21 11:05,C,32,4,11,5,8/26/21
8/26/21 12:05,C,36,4,12,5,8/26/21
8/26/21 13:05,C,38,4,13,5,8/26/21
8/26/21 14:05,C,40,4,14,5,8/26/21
8/26/21 15:05,C,42,4,15,5,8/26/21
8/26/21 16:05,C,42,4,16,5,8/26/21
8/26/21 17:05,C,40.5,4,17,5,8/26/21
8/26/21 18:05,C,38.5,4,18,5,8/26/21
8/26/21 19:05,C,36,4,19,5,8/26/21
8/26/21 20:05,C,32.5,4,20,5,8/26/21
8/26/21 21:05,C,29.5,4,21,5,8/26/21
8/26/21 22:05,C,27,4,22,5,8/26/21
8/26/21 23:05,C,25,4,23,5,8/26/21
8/27/21 0:05,C,23.5,4,0,5,8/27/21
8/27/21 1:05,C,22.5,4,1,5,8/27/21
8/27/21 2:05,C,21.5,4,2,5,8/27/21
8/27/21 3:05,C,20.5,4,3,5,8/27/21
8/27/21 4:05,C,19.5,4,4,5,8/27/21
8/27/21 5:05,C,18.5,4,5,5,8/27/21
8/27/21 6:05,C,18.5,4,6,5,8/27/21
8/27/21 7:05,C,18,4,7,5,8/27/21
8/27/21 8:05,C,19.5,4,8,5,8/27/21
8/27/21 9:05,C,23.5,4,9,5,8/27/21
8/27/21 10:05,C,28,4,10,5,8/27/21
8/27/21 11:05,C,31,4,11,5,8/27/21
8/27/21 12:05,C,34,4,12,5,8/27/21
8/27/21 13:05,C,36,4,13,5,8/27/21
8/27/21 14:05,C,38,4,14,5,8/27/21
8/27/21 15:05,C,40.5,4,15,5,8/27/21
8/27/21 16:05,C,41.5,4,16,5,8/27/21
8/27/21 17:05,C,41,4,17,5,8/27/21
8/27/21 18:05,C,39,4,18,5,8/27/21
8/27/21 19:05,C,36.5,4,19,5,8/27/21
8/27/21 20:05,C,33.5,4,20,5,8/27/21
8/27/21 21:05,C,30.5,4,21,5,8/27/21
8/27/21 22:05,C,28.5,4,22,5,8/27/21
8/27/21 23:05,C,26.5,4,23,5,8/27/21
8/28/21 0:05,C,25,4,0,5,8/28/21
8/28/21 1:05,C,23.5,4,1,5,8/28/21
8/28/21 2:05,C,22.5,4,2,5,8/28/21
8/28/21 3:05,C,21.5,4,3,5,8/28/21
8/28/21 4:05,C,21,4,4,5,8/28/21
8/28/21 5:05,C,20,4,5,5,8/28/21
8/28/21 6:05,C,19,4,6,5,8/28/21
8/28/21 7:05,C,19,4,7,5,8/28/21
8/28/21 8:05,C,20,4,8,5,8/28/21
8/28/21 9:05,C,23.5,4,9,5,8/28/21
8/28/21 10:05,C,29,4,10,5,8/28/21
8/28/21 11:05,C,34,4,11,5,8/28/21
8/28/21 12:05,C,37.5,4,12,5,8/28/21
8/28/21 13:05,C,40,4,13,5,8/28/21
8/28/21 14:05,C,42,4,14,5,8/28/21
8/28/21 15:05,C,43.5,4,15,5,8/28/21
8/28/21 16:05,C,43.5,4,16,5,8/28/21
8/28/21 17:05,C,42,4,17,5,8/28/21
8/28/21 18:05,C,39.5,4,18,5,8/28/21
8/28/21 19:05,C,37,4,19,5,8/28/21
8/28/21 20:05,C,34,4,20,5,8/28/21
8/28/21 21:05,C,31,4,21,5,8/28/21
8/28/21 22:05,C,28.5,4,22,5,8/28/21
8/28/21 23:05,C,26.5,4,23,5,8/28/21
8/29/21 0:05,C,25,4,0,5,8/29/21
8/29/21 1:05,C,23.5,4,1,5,8/29/21
8/29/21 2:05,C,22.5,4,2,5,8/29/21
8/29/21 3:05,C,21.5,4,3,5,8/29/21
8/29/21 4:05,C,20.5,4,4,5,8/29/21
8/29/21 5:05,C,19.5,4,5,5,8/29/21
8/29/21 6:05,C,18.5,4,6,5,8/29/21
8/29/21 7:05,C,18.5,4,7,5,8/29/21
8/29/21 8:05,C,20,4,8,5,8/29/21
8/29/21 9:05,C,24.5,4,9,5,8/29/21
8/29/21 10:05,C,30,4,10,5,8/29/21
8/29/21 11:05,C,35,4,11,5,8/29/21
8/29/21 12:05,C,39,4,12,5,8/29/21
8/29/21 13:05,C,42,4,13,5,8/29/21
8/29/21 14:05,C,44,4,14,5,8/29/21
8/29/21 15:05,C,45.5,4,15,5,8/29/21
8/29/21 16:05,C,45.5,4,16,5,8/29/21
8/29/21 17:05,C,44,4,17,5,8/29/21
8/29/21 18:05,C,42,4,18,5,8/29/21
8/29/21 19:05,C,38.5,4,19,5,8/29/21
8/29/21 20:05,C,34.5,4,20,5,8/29/21
8/29/21 21:05,C,31,4,21,5,8/29/21
8/29/21 22:05,C,27.5,4,22,5,8/29/21
8/29/21 23:05,C,25,4,23,5,8/29/21
8/30/21 0:05,C,23.5,4,0,5,8/30/21
8/30/21 1:05,C,22,4,1,5,8/30/21
8/30/21 2:05,C,21,4,2,5,8/30/21
8/30/21 3:05,C,20,4,3,5,8/30/21
8/30/21 4:05,C,19.5,4,4,5,8/30/21
8/30/21 5:05,C,18.5,4,5,5,8/30/21
8/30/21 6:05,C,17.5,4,6,5,8/30/21
8/30/21 7:05,C,17,4,7,5,8/30/21
8/30/21 8:05,C,18,4,8,5,8/30/21
8/30/21 9:05,C,23,4,9,5,8/30/21
8/30/21 10:05,C,29,4,10,5,8/30/21
8/30/21 11:05,C,34.5,4,11,5,8/30/21
8/30/21 12:05,C,38.5,4,12,5,8/30/21
8/30/21 13:05,C,41,4,13,5,8/30/21
8/30/21 14:05,C,42.5,4,14,5,8/30/21
8/30/21 15:05,C,43.5,4,15,5,8/30/21
8/30/21 16:05,C,43.5,4,16,5,8/30/21
8/30/21 17:05,C,43,4,17,5,8/30/21
8/30/21 18:05,C,40.5,4,18,5,8/30/21
8/30/21 19:05,C,37,4,19,5,8/30/21
8/30/21 20:05,C,33,4,20,5,8/30/21
8/30/21 21:05,C,29.5,4,21,5,8/30/21
8/30/21 22:05,C,26.5,4,22,5,8/30/21
8/30/21 23:05,C,24,4,23,5,8/30/21
8/31/21 0:05,C,22.5,4,0,5,8/31/21
8/31/21 1:05,C,21,4,1,5,8/31/21
8/31/21 2:05,C,20,4,2,5,8/31/21
8/31/21 3:05,C,18.5,4,3,5,8/31/21
8/31/21 4:05,C,18,4,4,5,8/31/21
8/31/21 5:05,C,17,4,5,5,8/31/21
8/31/21 6:05,C,16.5,4,6,5,8/31/21
8/31/21 7:05,C,16.5,4,7,5,8/31/21
8/31/21 8:05,C,17.5,4,8,5,8/31/21
8/31/21 9:05,C,22.5,4,9,5,8/31/21
8/31/21 10:05,C,29,4,10,5,8/31/21
8/31/21 11:05,C,33.5,4,11,5,8/31/21
8/31/21 12:05,C,38,4,12,5,8/31/21
8/31/21 13:05,C,40,4,13,5,8/31/21
8/31/21 14:05,C,41.5,4,14,5,8/31/21
8/31/21 15:05,C,41.5,4,15,5,8/31/21
8/31/21 16:05,C,41,4,16,5,8/31/21
8/31/21 17:05,C,39.5,4,17,5,8/31/21
8/31/21 18:05,C,37,4,18,5,8/31/21
8/31/21 19:05,C,33,4,19,5,8/31/21
8/31/21 20:05,C,29,4,20,5,8/31/21
8/31/21 21:05,C,25.5,4,21,5,8/31/21
8/31/21 22:05,C,22.5,4,22,5,8/31/21
8/31/21 23:05,C,21,4,23,5,8/31/21
9/1/21 0:05,C,19.5,4,0,5,9/1/21
9/1/21 1:05,C,18.5,4,1,5,9/1/21
9/1/21 2:05,C,18,4,2,5,9/1/21
9/1/21 3:05,C,17,4,3,5,9/1/21
9/1/21 4:05,C,16.5,4,4,5,9/1/21
9/1/21 5:05,C,15.5,4,5,5,9/1/21
9/1/21 6:05,C,15,4,6,5,9/1/21
9/1/21 7:05,C,14.5,4,7,5,9/1/21
9/1/21 8:05,C,15.5,4,8,5,9/1/21
9/1/21 9:05,C,20.5,4,9,5,9/1/21
9/1/21 10:05,C,25.5,4,10,5,9/1/21
9/1/21 11:05,C,30.5,4,11,5,9/1/21
9/1/21 12:05,C,33,4,12,5,9/1/21
9/1/21 13:05,C,35,4,13,5,9/1/21
9/1/21 14:05,C,35.5,4,14,5,9/1/21
9/1/21 15:05,C,36,4,15,5,9/1/21
9/1/21 16:05,C,35,4,16,5,9/1/21
9/1/21 17:05,C,33,4,17,5,9/1/21
9/1/21 18:05,C,29.5,4,18,5,9/1/21
9/1/21 19:05,C,26.5,4,19,5,9/1/21
9/1/21 20:05,C,23.5,4,20,5,9/1/21
9/1/21 21:05,C,21,4,21,5,9/1/21
9/1/21 22:05,C,19,4,22,5,9/1/21
9/1/21 23:05,C,17.5,4,23,5,9/1/21
9/2/21 0:05,C,16.5,4,0,5,9/2/21
9/2/21 1:05,C,15.5,4,1,5,9/2/21
9/2/21 2:05,C,15,4,2,5,9/2/21
9/2/21 3:05,C,15,4,3,5,9/2/21
9/2/21 4:05,C,14.5,4,4,5,9/2/21
9/2/21 5:05,C,14,4,5,5,9/2/21
9/2/21 6:05,C,13,4,6,5,9/2/21
9/2/21 7:05,C,12.5,4,7,5,9/2/21
9/2/21 8:05,C,13.5,4,8,5,9/2/21
9/2/21 9:05,C,17,4,9,5,9/2/21
9/2/21 10:05,C,22,4,10,5,9/2/21
9/2/21 11:05,C,27,4,11,5,9/2/21
9/2/21 12:05,C,31,4,12,5,9/2/21
9/2/21 13:05,C,33.5,4,13,5,9/2/21
9/2/21 14:05,C,35,4,14,5,9/2/21
9/2/21 15:05,C,36,4,15,5,9/2/21
9/2/21 16:05,C,36,4,16,5,9/2/21
9/2/21 17:05,C,35,4,17,5,9/2/21
9/2/21 18:05,C,32.5,4,18,5,9/2/21
9/2/21 19:05,C,30,4,19,5,9/2/21
9/2/21 20:05,C,27,4,20,5,9/2/21
9/2/21 21:05,C,24,4,21,5,9/2/21
9/2/21 22:05,C,21.5,4,22,5,9/2/21
9/2/21 23:05,C,19.5,4,23,5,9/2/21
9/3/21 0:05,C,18.5,4,0,5,9/3/21
9/3/21 1:05,C,17,4,1,5,9/3/21
9/3/21 2:05,C,16,4,2,5,9/3/21
9/3/21 3:05,C,15,4,3,5,9/3/21
9/3/21 4:05,C,14.5,4,4,5,9/3/21
9/3/21 5:05,C,14,4,5,5,9/3/21
9/3/21 6:05,C,13,4,6,5,9/3/21
9/3/21 7:05,C,12.5,4,7,5,9/3/21
9/3/21 8:05,C,13.5,4,8,5,9/3/21
9/3/21 9:05,C,18,4,9,5,9/3/21
9/3/21 10:05,C,24,4,10,5,9/3/21
9/3/21 11:05,C,29,4,11,5,9/3/21
9/3/21 12:05,C,33.5,4,12,5,9/3/21
9/3/21 13:05,C,36,4,13,5,9/3/21
9/3/21 14:05,C,37.5,4,14,5,9/3/21
9/3/21 15:05,C,39.5,4,15,5,9/3/21
9/3/21 16:05,C,39,4,16,5,9/3/21
9/3/21 17:05,C,37.5,4,17,5,9/3/21
9/3/21 18:05,C,35.5,4,18,5,9/3/21
9/3/21 19:05,C,33,4,19,5,9/3/21
9/3/21 20:05,C,30,4,20,5,9/3/21
9/3/21 21:05,C,27,4,21,5,9/3/21
