Cohort,Block,Cohort_id,Block_id,caam.count,caam.sample,caan1.count,caan1.sample,caan1.td,caan2.count,caan2.sample,caan2.td,caco1.count,caco1.sample,caco1.td,cain3.count,cain3.sample,cain3.td,cain4.count,cain4.sample,cain4.td,stbr3.count,stbr3.sample,stbr3.td,stdi.count,stdi.sample,stdi.td,stdr2.count,stdr2.sample,stdr2.td,stgl1.count,stgl1.sample,stgl1.td,stin.count,stin.sample,stin.td,stpo1.count,stpo1.sample,stpo1.td,stto.count,stto.sample,stto.td,caan1.mean.temp,caan2.mean.temp,caco.mean.temp,cain3.mean.temp,cain4.mean.temp,stbr3.mean.temp,stdi.mean.temp,stdr2.mean.temp,stgl1.mean.temp,stin.mean.temp,stpo1.mean.temp,stto.mean.temp,caam.mean.temp
4,2,4,11,4,16,1,16,9.853176542,1,16,16.66548697,0,4,NA,9,16,16.41158871,2,16,22.37393292,7,16,23.82259045,8,16,14.94811559,9,16,13.20145514,9,16,13.06503882,3,16,12.04982567,11,16,7.342366603,4,16,7.196643985,12.44268968,13.82667837,NA,14.20113396,14.09179556,12.66260525,14.16707409,13.54882283,12.88613522,13.87228006,14.12338714,14.24235262,13.01454688
4,3,4,12,4,16,2,16,7.958059253,3,16,17.0013388,0,4,NA,10,16,16.37588033,2,16,22.38348581,14,16,23.26690922,6,16,14.85938651,5,16,13.59916344,2,16,12.93461147,2,16,11.93531742,13,16,7.877750027,3,16,7.271565833,14.33780697,13.49082654,NA,14.23684235,14.08224267,13.21828648,14.25580317,13.15111453,13.01656258,13.98678832,13.58800371,14.16743077,11.8995956
5,1,5,13,1,16,3,16,10.71422972,4,16,19.08095692,0,4,NA,4,16,18.92548626,5,16,24.95351477,10,16,25.81210299,4,16,17.73558319,8,16,15.53195457,5,16,14.64110335,2,16,14.76354306,9,16,10.13954238,11,16,10.1216815,11.5816365,11.41120842,NA,11.68723641,11.51221371,10.67309271,11.3796065,11.2183234,11.31007069,11.15856267,11.32621136,11.3173151,10.3205871
5,2,5,14,1,16,3,16,10.83906523,3,16,18.95620975,0,4,NA,5,16,18.97401479,1,16,24.54949359,11,16,25.29396211,3,16,17.58655181,6,16,15.57137277,3,16,14.81273557,1,16,14.71497577,10,16,10.17408032,11,16,9.854025622,11.45680099,11.53595559,NA,11.63870788,11.91623489,11.19123359,11.52863787,11.17890521,11.13843847,11.20712996,11.29167342,11.58497098,11.10999538
5,3,5,15,1,16,2,16,10.83762829,0,16,NA,0,4,NA,4,16,18.94743657,6,16,24.77255918,12,16,25.39814733,8,16,17.77409314,7,16,15.69205642,3,16,14.79655849,1,16,14.77538442,8,16,10.26224757,12,16,9.925710743,11.45823793,NA,NA,11.6652861,11.6931693,11.08704837,11.34109654,11.05822155,11.15461555,11.14672131,11.20350617,11.51328586,10.06048581
6,1,6,16,0,16,2,16,12.76078192,2,16,21.13143355,3,4,15.76944368,11,16,21.64971019,2,16,27.22224165,5,16,26.90314949,3,16,19.78735586,7,16,17.11811421,4,16,16.46707792,5,16,16.32819128,10,16,11.98197035,14,16,12.34042432,9.535084299,9.360731793,9.685188926,8.963012478,9.243486835,9.582046209,9.327833815,9.632163759,9.484096123,9.593914455,9.483783389,9.098572281,NA
6,2,6,17,0,16,1,16,12.68536785,2,16,21.30154591,2,4,15.87535084,4,16,21.46193631,5,16,27.35385065,8,16,26.8380196,6,16,20.17462595,9,16,17.1058177,2,16,16.15127908,5,16,16.44311148,8,16,11.8465866,13,16,12.29375393,9.610498366,9.19061943,9.57928177,9.150786356,9.111877828,9.647176098,8.940563725,9.644460264,9.799894958,9.478994244,9.619167138,9.145242672,NA
6,3,6,18,3,16,2,16,13.3173123,4,16,21.25212296,1,4,15.80945916,5,16,21.50777986,4,16,27.45868191,7,16,26.80572327,6,16,20.04080923,8,16,17.04708395,2,16,16.70768721,4,16,16.27636196,10,16,11.80697353,12,16,12.17371108,8.978553922,9.240042377,9.645173454,9.10494281,9.007046569,9.67947243,9.074380447,9.703194018,9.243486835,9.645743767,9.658780211,9.265285521,9.036944699
7,1,7,19,0,16,2,16,14.19550616,1,16,21.97447202,0,4,NA,0,16,NA,2,16,28.11966364,6,16,28.15977566,2,16,21.01482962,0,16,NA,0,16,NA,1,16,17.40441241,13,16,13.11712752,7,16,13.16131193,8.100360069,8.517693316,NA,NA,8.346064841,8.325420034,8.100360069,NA,NA,8.517693316,8.348626217,8.277684672,NA
7,2,7,20,1,16,4,16,14.05955074,2,16,22.51344565,0,4,NA,1,16,22.14259343,2,16,28.18385635,9,16,28.01877526,1,16,20.8282243,1,16,18.23258465,1,16,17.97245435,1,16,17.63514035,10,16,13.22511648,7,16,13.3210387,8.236315485,7.978719693,NA,8.470129237,8.28187213,8.466420441,8.286965377,8.517693316,7.978719693,8.286965377,8.24063726,8.1179579,8.517693316
7,3,7,21,0,16,0,16,NA,3,16,22.04785436,1,4,16.93693929,1,16,21.98911043,1,16,27.99559924,4,16,28.08286635,2,16,20.89076522,0,16,NA,1,16,17.45638322,4,16,17.51713115,5,16,13.12216324,7,16,13.25117538,NA,8.444310976,8.517693316,8.623612239,8.470129237,8.402329347,8.224424465,NA,8.494790819,8.404974577,8.343590501,8.187821218,NA
